Sub,decodingModel,all.roi,feature_decoded,decAcc,attCond,WasLocAtt,WasFeaAtt,CalibrationType,feedbackGiven,Age
28,1v3,pIFS,C,37.5,uLaF,0,1,1,0,29
29,1v3,pIFS,C,12.5,uLaF,0,1,1,0,25
30,1v3,pIFS,C,37.5,uLaF,0,1,1,0,21
1,1v4,IPS,C,50,uLaF,0,1,0,0,30
2,1v4,IPS,C,50,uLaF,0,1,0,0,30
3,1v4,IPS,C,18.75,uLaF,0,1,0,0,24
4,1v4,IPS,C,56.25,uLaF,0,1,0,0,24
5,1v4,IPS,C,25,uLaF,0,1,0,0,28
6,1v4,IPS,C,37.5,uLaF,0,1,0,0,23
7,1v4,IPS,C,6.25,uLaF,0,1,0,0,22
8,1v4,IPS,C,75,uLaF,0,1,0,0,24
9,1v4,IPS,C,43.75,uLaF,0,1,0,0,23
10,1v4,IPS,C,75,uLaF,0,1,0,0,33
11,1v4,IPS,C,56.25,uLaF,0,1,0,0,21
12,1v4,IPS,C,18.75,uLaF,0,1,0,0,28
13,1v4,IPS,C,100,uLaF,0,1,0,1,25
14,1v4,IPS,C,75,uLaF,0,1,0,1,30
15,1v4,IPS,C,56.25,uLaF,0,1,0,1,22
16,1v4,IPS,C,68.75,uLaF,0,1,0,1,33
17,1v4,IPS,C,50,uLaF,0,1,0,1,28
18,1v4,IPS,C,93.75,uLaF,0,1,1,0,34
19,1v4,IPS,C,50,uLaF,0,1,1,0,29
20,1v4,IPS,C,37.5,uLaF,0,1,1,0,24
21,1v4,IPS,C,37.5,uLaF,0,1,1,0,29
22,1v4,IPS,C,68.75,uLaF,0,1,1,0,25
23,1v4,IPS,C,37.5,uLaF,0,1,1,0,35
24,1v4,IPS,C,37.5,uLaF,0,1,1,0,32
25,1v4,IPS,C,75,uLaF,0,1,1,0,23
26,1v4,IPS,C,56.25,uLaF,0,1,1,0,31
27,1v4,IPS,C,81.25,uLaF,0,1,1,0,31
28,1v4,IPS,C,56.25,uLaF,0,1,1,0,29
29,1v4,IPS,C,37.5,uLaF,0,1,1,0,25
30,1v4,IPS,C,56.25,uLaF,0,1,1,0,21
1,1v4,AIFO,C,18.75,uLaF,0,1,0,0,30
2,1v4,AIFO,C,50,uLaF,0,1,0,0,30
3,1v4,AIFO,C,68.75,uLaF,0,1,0,0,24
4,1v4,AIFO,C,75,uLaF,0,1,0,0,24
5,1v4,AIFO,C,25,uLaF,0,1,0,0,28
6,1v4,AIFO,C,50,uLaF,0,1,0,0,23
7,1v4,AIFO,C,93.75,uLaF,0,1,0,0,22
8,1v4,AIFO,C,18.75,uLaF,0,1,0,0,24
9,1v4,AIFO,C,56.25,uLaF,0,1,0,0,23
10,1v4,AIFO,C,75,uLaF,0,1,0,0,33
11,1v4,AIFO,C,43.75,uLaF,0,1,0,0,21
12,1v4,AIFO,C,31.25,uLaF,0,1,0,0,28
13,1v4,AIFO,C,100,uLaF,0,1,0,1,25
14,1v4,AIFO,C,81.25,uLaF,0,1,0,1,30
15,1v4,AIFO,C,31.25,uLaF,0,1,0,1,22
16,1v4,AIFO,C,50,uLaF,0,1,0,1,33
17,1v4,AIFO,C,56.25,uLaF,0,1,0,1,28
18,1v4,AIFO,C,93.75,uLaF,0,1,1,0,34
19,1v4,AIFO,C,31.25,uLaF,0,1,1,0,29
20,1v4,AIFO,C,25,uLaF,0,1,1,0,24
21,1v4,AIFO,C,37.5,uLaF,0,1,1,0,29
22,1v4,AIFO,C,18.75,uLaF,0,1,1,0,25
23,1v4,AIFO,C,25,uLaF,0,1,1,0,35
24,1v4,AIFO,C,50,uLaF,0,1,1,0,32
25,1v4,AIFO,C,87.5,uLaF,0,1,1,0,23
26,1v4,AIFO,C,25,uLaF,0,1,1,0,31
27,1v4,AIFO,C,75,uLaF,0,1,1,0,31
28,1v4,AIFO,C,50,uLaF,0,1,1,0,29
29,1v4,AIFO,C,75,uLaF,0,1,1,0,25
30,1v4,AIFO,C,81.25,uLaF,0,1,1,0,21
1,1v4,IFJ,C,43.75,uLaF,0,1,0,0,30
2,1v4,IFJ,C,43.75,uLaF,0,1,0,0,30
3,1v4,IFJ,C,25,uLaF,0,1,0,0,24
4,1v4,IFJ,C,68.75,uLaF,0,1,0,0,24
5,1v4,IFJ,C,37.5,uLaF,0,1,0,0,28
6,1v4,IFJ,C,62.5,uLaF,0,1,0,0,23
7,1v4,IFJ,C,37.5,uLaF,0,1,0,0,22
8,1v4,IFJ,C,43.75,uLaF,0,1,0,0,24
9,1v4,IFJ,C,68.75,uLaF,0,1,0,0,23
10,1v4,IFJ,C,68.75,uLaF,0,1,0,0,33
11,1v4,IFJ,C,56.25,uLaF,0,1,0,0,21
12,1v4,IFJ,C,31.25,uLaF,0,1,0,0,28
13,1v4,IFJ,C,93.75,uLaF,0,1,0,1,25
14,1v4,IFJ,C,87.5,uLaF,0,1,0,1,30
15,1v4,IFJ,C,31.25,uLaF,0,1,0,1,22
16,1v4,IFJ,C,56.25,uLaF,0,1,0,1,33
17,1v4,IFJ,C,62.5,uLaF,0,1,0,1,28
18,1v4,IFJ,C,93.75,uLaF,0,1,1,0,34
19,1v4,IFJ,C,43.75,uLaF,0,1,1,0,29
20,1v4,IFJ,C,50,uLaF,0,1,1,0,24
21,1v4,IFJ,C,31.25,uLaF,0,1,1,0,29
22,1v4,IFJ,C,37.5,uLaF,0,1,1,0,25
23,1v4,IFJ,C,50,uLaF,0,1,1,0,35
24,1v4,IFJ,C,62.5,uLaF,0,1,1,0,32
25,1v4,IFJ,C,68.75,uLaF,0,1,1,0,23
26,1v4,IFJ,C,37.5,uLaF,0,1,1,0,31
27,1v4,IFJ,C,68.75,uLaF,0,1,1,0,31
28,1v4,IFJ,C,62.5,uLaF,0,1,1,0,29
29,1v4,IFJ,C,43.75,uLaF,0,1,1,0,25
30,1v4,IFJ,C,75,uLaF,0,1,1,0,21
1,1v4,ACC,C,25,uLaF,0,1,0,0,30
2,1v4,ACC,C,75,uLaF,0,1,0,0,30
3,1v4,ACC,C,37.5,uLaF,0,1,0,0,24
4,1v4,ACC,C,62.5,uLaF,0,1,0,0,24
5,1v4,ACC,C,25,uLaF,0,1,0,0,28
6,1v4,ACC,C,87.5,uLaF,0,1,0,0,23
7,1v4,ACC,C,62.5,uLaF,0,1,0,0,22
8,1v4,ACC,C,50,uLaF,0,1,0,0,24
9,1v4,ACC,C,62.5,uLaF,0,1,0,0,23
10,1v4,ACC,C,87.5,uLaF,0,1,0,0,33
11,1v4,ACC,C,75,uLaF,0,1,0,0,21
12,1v4,ACC,C,50,uLaF,0,1,0,0,28
13,1v4,ACC,C,87.5,uLaF,0,1,0,1,25
14,1v4,ACC,C,75,uLaF,0,1,0,1,30
15,1v4,ACC,C,50,uLaF,0,1,0,1,22
16,1v4,ACC,C,50,uLaF,0,1,0,1,33
17,1v4,ACC,C,75,uLaF,0,1,0,1,28
18,1v4,ACC,C,100,uLaF,0,1,1,0,34
19,1v4,ACC,C,37.5,uLaF,0,1,1,0,29
20,1v4,ACC,C,37.5,uLaF,0,1,1,0,24
21,1v4,ACC,C,25,uLaF,0,1,1,0,29
22,1v4,ACC,C,37.5,uLaF,0,1,1,0,25
23,1v4,ACC,C,62.5,uLaF,0,1,1,0,35
24,1v4,ACC,C,75,uLaF,0,1,1,0,32
25,1v4,ACC,C,87.5,uLaF,0,1,1,0,23
26,1v4,ACC,C,37.5,uLaF,0,1,1,0,31
27,1v4,ACC,C,87.5,uLaF,0,1,1,0,31
28,1v4,ACC,C,62.5,uLaF,0,1,1,0,29
29,1v4,ACC,C,25,uLaF,0,1,1,0,25
30,1v4,ACC,C,87.5,uLaF,0,1,1,0,21
1,1v4,PM,C,62.5,uLaF,0,1,0,0,30
2,1v4,PM,C,37.5,uLaF,0,1,0,0,30
3,1v4,PM,C,18.75,uLaF,0,1,0,0,24
4,1v4,PM,C,56.25,uLaF,0,1,0,0,24
5,1v4,PM,C,31.25,uLaF,0,1,0,0,28
6,1v4,PM,C,62.5,uLaF,0,1,0,0,23
7,1v4,PM,C,18.75,uLaF,0,1,0,0,22
8,1v4,PM,C,75,uLaF,0,1,0,0,24
9,1v4,PM,C,56.25,uLaF,0,1,0,0,23
10,1v4,PM,C,68.75,uLaF,0,1,0,0,33
11,1v4,PM,C,87.5,uLaF,0,1,0,0,21
12,1v4,PM,C,43.75,uLaF,0,1,0,0,28
13,1v4,PM,C,87.5,uLaF,0,1,0,1,25
14,1v4,PM,C,62.5,uLaF,0,1,0,1,30
15,1v4,PM,C,37.5,uLaF,0,1,0,1,22
16,1v4,PM,C,37.5,uLaF,0,1,0,1,33
17,1v4,PM,C,25,uLaF,0,1,0,1,28
18,1v4,PM,C,100,uLaF,0,1,1,0,34
19,1v4,PM,C,31.25,uLaF,0,1,1,0,29
20,1v4,PM,C,31.25,uLaF,0,1,1,0,24
21,1v4,PM,C,31.25,uLaF,0,1,1,0,29
22,1v4,PM,C,50,uLaF,0,1,1,0,25
23,1v4,PM,C,31.25,uLaF,0,1,1,0,35
24,1v4,PM,C,56.25,uLaF,0,1,1,0,32
25,1v4,PM,C,93.75,uLaF,0,1,1,0,23
26,1v4,PM,C,43.75,uLaF,0,1,1,0,31
27,1v4,PM,C,93.75,uLaF,0,1,1,0,31
28,1v4,PM,C,75,uLaF,0,1,1,0,29
29,1v4,PM,C,56.25,uLaF,0,1,1,0,25
30,1v4,PM,C,31.25,uLaF,0,1,1,0,21
1,1v4,aIFS,C,31.25,uLaF,0,1,0,0,30
2,1v4,aIFS,C,18.75,uLaF,0,1,0,0,30
3,1v4,aIFS,C,81.25,uLaF,0,1,0,0,24
4,1v4,aIFS,C,62.5,uLaF,0,1,0,0,24
5,1v4,aIFS,C,37.5,uLaF,0,1,0,0,28
6,1v4,aIFS,C,43.75,uLaF,0,1,0,0,23
7,1v4,aIFS,C,25,uLaF,0,1,0,0,22
8,1v4,aIFS,C,75,uLaF,0,1,0,0,24
9,1v4,aIFS,C,43.75,uLaF,0,1,0,0,23
10,1v4,aIFS,C,62.5,uLaF,0,1,0,0,33
11,1v4,aIFS,C,25,uLaF,0,1,0,0,21
12,1v4,aIFS,C,62.5,uLaF,0,1,0,0,28
13,1v4,aIFS,C,100,uLaF,0,1,0,1,25
14,1v4,aIFS,C,81.25,uLaF,0,1,0,1,30
15,1v4,aIFS,C,31.25,uLaF,0,1,0,1,22
16,1v4,aIFS,C,31.25,uLaF,0,1,0,1,33
17,1v4,aIFS,C,50,uLaF,0,1,0,1,28
18,1v4,aIFS,C,93.75,uLaF,0,1,1,0,34
19,1v4,aIFS,C,56.25,uLaF,0,1,1,0,29
20,1v4,aIFS,C,31.25,uLaF,0,1,1,0,24
21,1v4,aIFS,C,18.75,uLaF,0,1,1,0,29
22,1v4,aIFS,C,56.25,uLaF,0,1,1,0,25
23,1v4,aIFS,C,43.75,uLaF,0,1,1,0,35
24,1v4,aIFS,C,75,uLaF,0,1,1,0,32
25,1v4,aIFS,C,87.5,uLaF,0,1,1,0,23
26,1v4,aIFS,C,68.75,uLaF,0,1,1,0,31
27,1v4,aIFS,C,68.75,uLaF,0,1,1,0,31
28,1v4,aIFS,C,75,uLaF,0,1,1,0,29
29,1v4,aIFS,C,56.25,uLaF,0,1,1,0,25
30,1v4,aIFS,C,56.25,uLaF,0,1,1,0,21
1,1v4,pIFS,C,37.5,uLaF,0,1,0,0,30
2,1v4,pIFS,C,37.5,uLaF,0,1,0,0,30
3,1v4,pIFS,C,62.5,uLaF,0,1,0,0,24
4,1v4,pIFS,C,50,uLaF,0,1,0,0,24
5,1v4,pIFS,C,31.25,uLaF,0,1,0,0,28
6,1v4,pIFS,C,62.5,uLaF,0,1,0,0,23
7,1v4,pIFS,C,68.75,uLaF,0,1,0,0,22
8,1v4,pIFS,C,62.5,uLaF,0,1,0,0,24
9,1v4,pIFS,C,68.75,uLaF,0,1,0,0,23
10,1v4,pIFS,C,81.25,uLaF,0,1,0,0,33
11,1v4,pIFS,C,56.25,uLaF,0,1,0,0,21
12,1v4,pIFS,C,50,uLaF,0,1,0,0,28
13,1v4,pIFS,C,87.5,uLaF,0,1,0,1,25
14,1v4,pIFS,C,75,uLaF,0,1,0,1,30
15,1v4,pIFS,C,18.75,uLaF,0,1,0,1,22
16,1v4,pIFS,C,31.25,uLaF,0,1,0,1,33
17,1v4,pIFS,C,50,uLaF,0,1,0,1,28
18,1v4,pIFS,C,81.25,uLaF,0,1,1,0,34
19,1v4,pIFS,C,68.75,uLaF,0,1,1,0,29
20,1v4,pIFS,C,25,uLaF,0,1,1,0,24
21,1v4,pIFS,C,12.5,uLaF,0,1,1,0,29
22,1v4,pIFS,C,56.25,uLaF,0,1,1,0,25
23,1v4,pIFS,C,37.5,uLaF,0,1,1,0,35
24,1v4,pIFS,C,50,uLaF,0,1,1,0,32
25,1v4,pIFS,C,93.75,uLaF,0,1,1,0,23
26,1v4,pIFS,C,68.75,uLaF,0,1,1,0,31
27,1v4,pIFS,C,62.5,uLaF,0,1,1,0,31
28,1v4,pIFS,C,50,uLaF,0,1,1,0,29
29,1v4,pIFS,C,62.5,uLaF,0,1,1,0,25
30,1v4,pIFS,C,75,uLaF,0,1,1,0,21
1,2v4,IPS,C,43.75,uLaF,0,1,0,0,30
2,2v4,IPS,C,43.75,uLaF,0,1,0,0,30
3,2v4,IPS,C,50,uLaF,0,1,0,0,24
4,2v4,IPS,C,75,uLaF,0,1,0,0,24
5,2v4,IPS,C,12.5,uLaF,0,1,0,0,28
6,2v4,IPS,C,68.75,uLaF,0,1,0,0,23
7,2v4,IPS,C,62.5,uLaF,0,1,0,0,22
8,2v4,IPS,C,81.25,uLaF,0,1,0,0,24
9,2v4,IPS,C,75,uLaF,0,1,0,0,23
10,2v4,IPS,C,62.5,uLaF,0,1,0,0,33
11,2v4,IPS,C,68.75,uLaF,0,1,0,0,21
12,2v4,IPS,C,43.75,uLaF,0,1,0,0,28
13,2v4,IPS,C,43.75,uLaF,0,1,0,1,25
14,2v4,IPS,C,68.75,uLaF,0,1,0,1,30
15,2v4,IPS,C,62.5,uLaF,0,1,0,1,22
16,2v4,IPS,C,31.25,uLaF,0,1,0,1,33
17,2v4,IPS,C,81.25,uLaF,0,1,0,1,28
18,2v4,IPS,C,62.5,uLaF,0,1,1,0,34
19,2v4,IPS,C,62.5,uLaF,0,1,1,0,29
20,2v4,IPS,C,56.25,uLaF,0,1,1,0,24
21,2v4,IPS,C,43.75,uLaF,0,1,1,0,29
22,2v4,IPS,C,68.75,uLaF,0,1,1,0,25
23,2v4,IPS,C,37.5,uLaF,0,1,1,0,35
24,2v4,IPS,C,50,uLaF,0,1,1,0,32
25,2v4,IPS,C,62.5,uLaF,0,1,1,0,23
26,2v4,IPS,C,56.25,uLaF,0,1,1,0,31
27,2v4,IPS,C,81.25,uLaF,0,1,1,0,31
28,2v4,IPS,C,31.25,uLaF,0,1,1,0,29
29,2v4,IPS,C,12.5,uLaF,0,1,1,0,25
30,2v4,IPS,C,62.5,uLaF,0,1,1,0,21
1,2v4,AIFO,C,43.75,uLaF,0,1,0,0,30
2,2v4,AIFO,C,31.25,uLaF,0,1,0,0,30
3,2v4,AIFO,C,50,uLaF,0,1,0,0,24
4,2v4,AIFO,C,37.5,uLaF,0,1,0,0,24
5,2v4,AIFO,C,18.75,uLaF,0,1,0,0,28
6,2v4,AIFO,C,37.5,uLaF,0,1,0,0,23
7,2v4,AIFO,C,62.5,uLaF,0,1,0,0,22
8,2v4,AIFO,C,50,uLaF,0,1,0,0,24
9,2v4,AIFO,C,75,uLaF,0,1,0,0,23
10,2v4,AIFO,C,43.75,uLaF,0,1,0,0,33
11,2v4,AIFO,C,56.25,uLaF,0,1,0,0,21
12,2v4,AIFO,C,56.25,uLaF,0,1,0,0,28
13,2v4,AIFO,C,18.75,uLaF,0,1,0,1,25
14,2v4,AIFO,C,87.5,uLaF,0,1,0,1,30
15,2v4,AIFO,C,12.5,uLaF,0,1,0,1,22
16,2v4,AIFO,C,37.5,uLaF,0,1,0,1,33
17,2v4,AIFO,C,25,uLaF,0,1,0,1,28
18,2v4,AIFO,C,68.75,uLaF,0,1,1,0,34
19,2v4,AIFO,C,62.5,uLaF,0,1,1,0,29
20,2v4,AIFO,C,56.25,uLaF,0,1,1,0,24
21,2v4,AIFO,C,6.25,uLaF,0,1,1,0,29
22,2v4,AIFO,C,31.25,uLaF,0,1,1,0,25
23,2v4,AIFO,C,31.25,uLaF,0,1,1,0,35
24,2v4,AIFO,C,37.5,uLaF,0,1,1,0,32
25,2v4,AIFO,C,87.5,uLaF,0,1,1,0,23
26,2v4,AIFO,C,62.5,uLaF,0,1,1,0,31
27,2v4,AIFO,C,87.5,uLaF,0,1,1,0,31
28,2v4,AIFO,C,37.5,uLaF,0,1,1,0,29
29,2v4,AIFO,C,56.25,uLaF,0,1,1,0,25
30,2v4,AIFO,C,43.75,uLaF,0,1,1,0,21
1,2v4,IFJ,C,43.75,uLaF,0,1,0,0,30
2,2v4,IFJ,C,43.75,uLaF,0,1,0,0,30
3,2v4,IFJ,C,62.5,uLaF,0,1,0,0,24
4,2v4,IFJ,C,6.25,uLaF,0,1,0,0,24
5,2v4,IFJ,C,31.25,uLaF,0,1,0,0,28
6,2v4,IFJ,C,68.75,uLaF,0,1,0,0,23
7,2v4,IFJ,C,37.5,uLaF,0,1,0,0,22
8,2v4,IFJ,C,56.25,uLaF,0,1,0,0,24
9,2v4,IFJ,C,75,uLaF,0,1,0,0,23
10,2v4,IFJ,C,31.25,uLaF,0,1,0,0,33
11,2v4,IFJ,C,56.25,uLaF,0,1,0,0,21
12,2v4,IFJ,C,56.25,uLaF,0,1,0,0,28
13,2v4,IFJ,C,37.5,uLaF,0,1,0,1,25
14,2v4,IFJ,C,81.25,uLaF,0,1,0,1,30
15,2v4,IFJ,C,50,uLaF,0,1,0,1,22
16,2v4,IFJ,C,37.5,uLaF,0,1,0,1,33
17,2v4,IFJ,C,37.5,uLaF,0,1,0,1,28
18,2v4,IFJ,C,43.75,uLaF,0,1,1,0,34
19,2v4,IFJ,C,56.25,uLaF,0,1,1,0,29
20,2v4,IFJ,C,56.25,uLaF,0,1,1,0,24
21,2v4,IFJ,C,18.75,uLaF,0,1,1,0,29
22,2v4,IFJ,C,50,uLaF,0,1,1,0,25
23,2v4,IFJ,C,87.5,uLaF,0,1,1,0,35
24,2v4,IFJ,C,56.25,uLaF,0,1,1,0,32
25,2v4,IFJ,C,43.75,uLaF,0,1,1,0,23
26,2v4,IFJ,C,50,uLaF,0,1,1,0,31
27,2v4,IFJ,C,62.5,uLaF,0,1,1,0,31
28,2v4,IFJ,C,18.75,uLaF,0,1,1,0,29
29,2v4,IFJ,C,43.75,uLaF,0,1,1,0,25
30,2v4,IFJ,C,62.5,uLaF,0,1,1,0,21
1,2v4,ACC,C,37.5,uLaF,0,1,0,0,30
2,2v4,ACC,C,12.5,uLaF,0,1,0,0,30
3,2v4,ACC,C,62.5,uLaF,0,1,0,0,24
4,2v4,ACC,C,25,uLaF,0,1,0,0,24
5,2v4,ACC,C,50,uLaF,0,1,0,0,28
6,2v4,ACC,C,0,uLaF,0,1,0,0,23
7,2v4,ACC,C,62.5,uLaF,0,1,0,0,22
8,2v4,ACC,C,25,uLaF,0,1,0,0,24
9,2v4,ACC,C,75,uLaF,0,1,0,0,23
10,2v4,ACC,C,50,uLaF,0,1,0,0,33
11,2v4,ACC,C,50,uLaF,0,1,0,0,21
12,2v4,ACC,C,25,uLaF,0,1,0,0,28
13,2v4,ACC,C,25,uLaF,0,1,0,1,25
14,2v4,ACC,C,87.5,uLaF,0,1,0,1,30
15,2v4,ACC,C,12.5,uLaF,0,1,0,1,22
16,2v4,ACC,C,50,uLaF,0,1,0,1,33
17,2v4,ACC,C,75,uLaF,0,1,0,1,28
18,2v4,ACC,C,62.5,uLaF,0,1,1,0,34
19,2v4,ACC,C,75,uLaF,0,1,1,0,29
20,2v4,ACC,C,62.5,uLaF,0,1,1,0,24
21,2v4,ACC,C,37.5,uLaF,0,1,1,0,29
22,2v4,ACC,C,37.5,uLaF,0,1,1,0,25
23,2v4,ACC,C,62.5,uLaF,0,1,1,0,35
24,2v4,ACC,C,50,uLaF,0,1,1,0,32
25,2v4,ACC,C,100,uLaF,0,1,1,0,23
26,2v4,ACC,C,75,uLaF,0,1,1,0,31
27,2v4,ACC,C,75,uLaF,0,1,1,0,31
28,2v4,ACC,C,37.5,uLaF,0,1,1,0,29
29,2v4,ACC,C,25,uLaF,0,1,1,0,25
30,2v4,ACC,C,75,uLaF,0,1,1,0,21
1,2v4,PM,C,37.5,uLaF,0,1,0,0,30
2,2v4,PM,C,50,uLaF,0,1,0,0,30
3,2v4,PM,C,50,uLaF,0,1,0,0,24
4,2v4,PM,C,50,uLaF,0,1,0,0,24
5,2v4,PM,C,50,uLaF,0,1,0,0,28
6,2v4,PM,C,62.5,uLaF,0,1,0,0,23
7,2v4,PM,C,62.5,uLaF,0,1,0,0,22
8,2v4,PM,C,75,uLaF,0,1,0,0,24
9,2v4,PM,C,56.25,uLaF,0,1,0,0,23
10,2v4,PM,C,31.25,uLaF,0,1,0,0,33
11,2v4,PM,C,87.5,uLaF,0,1,0,0,21
12,2v4,PM,C,50,uLaF,0,1,0,0,28
13,2v4,PM,C,25,uLaF,0,1,0,1,25
14,2v4,PM,C,81.25,uLaF,0,1,0,1,30
15,2v4,PM,C,62.5,uLaF,0,1,0,1,22
16,2v4,PM,C,43.75,uLaF,0,1,0,1,33
17,2v4,PM,C,43.75,uLaF,0,1,0,1,28
18,2v4,PM,C,50,uLaF,0,1,1,0,34
19,2v4,PM,C,68.75,uLaF,0,1,1,0,29
20,2v4,PM,C,56.25,uLaF,0,1,1,0,24
21,2v4,PM,C,12.5,uLaF,0,1,1,0,29
22,2v4,PM,C,62.5,uLaF,0,1,1,0,25
23,2v4,PM,C,56.25,uLaF,0,1,1,0,35
24,2v4,PM,C,68.75,uLaF,0,1,1,0,32
25,2v4,PM,C,87.5,uLaF,0,1,1,0,23
26,2v4,PM,C,81.25,uLaF,0,1,1,0,31
27,2v4,PM,C,56.25,uLaF,0,1,1,0,31
28,2v4,PM,C,18.75,uLaF,0,1,1,0,29
29,2v4,PM,C,25,uLaF,0,1,1,0,25
30,2v4,PM,C,50,uLaF,0,1,1,0,21
1,2v4,aIFS,C,43.75,uLaF,0,1,0,0,30
2,2v4,aIFS,C,50,uLaF,0,1,0,0,30
3,2v4,aIFS,C,56.25,uLaF,0,1,0,0,24
4,2v4,aIFS,C,43.75,uLaF,0,1,0,0,24
5,2v4,aIFS,C,37.5,uLaF,0,1,0,0,28
6,2v4,aIFS,C,43.75,uLaF,0,1,0,0,23
7,2v4,aIFS,C,87.5,uLaF,0,1,0,0,22
8,2v4,aIFS,C,68.75,uLaF,0,1,0,0,24
9,2v4,aIFS,C,31.25,uLaF,0,1,0,0,23
10,2v4,aIFS,C,50,uLaF,0,1,0,0,33
11,2v4,aIFS,C,37.5,uLaF,0,1,0,0,21
12,2v4,aIFS,C,25,uLaF,0,1,0,0,28
13,2v4,aIFS,C,56.25,uLaF,0,1,0,1,25
14,2v4,aIFS,C,75,uLaF,0,1,0,1,30
15,2v4,aIFS,C,25,uLaF,0,1,0,1,22
16,2v4,aIFS,C,31.25,uLaF,0,1,0,1,33
17,2v4,aIFS,C,37.5,uLaF,0,1,0,1,28
18,2v4,aIFS,C,43.75,uLaF,0,1,1,0,34
19,2v4,aIFS,C,56.25,uLaF,0,1,1,0,29
20,2v4,aIFS,C,31.25,uLaF,0,1,1,0,24
21,2v4,aIFS,C,31.25,uLaF,0,1,1,0,29
22,2v4,aIFS,C,56.25,uLaF,0,1,1,0,25
23,2v4,aIFS,C,62.5,uLaF,0,1,1,0,35
24,2v4,aIFS,C,50,uLaF,0,1,1,0,32
25,2v4,aIFS,C,68.75,uLaF,0,1,1,0,23
26,2v4,aIFS,C,87.5,uLaF,0,1,1,0,31
27,2v4,aIFS,C,31.25,uLaF,0,1,1,0,31
28,2v4,aIFS,C,25,uLaF,0,1,1,0,29
29,2v4,aIFS,C,62.5,uLaF,0,1,1,0,25
30,2v4,aIFS,C,62.5,uLaF,0,1,1,0,21
1,2v4,pIFS,C,62.5,uLaF,0,1,0,0,30
2,2v4,pIFS,C,50,uLaF,0,1,0,0,30
3,2v4,pIFS,C,68.75,uLaF,0,1,0,0,24
4,2v4,pIFS,C,25,uLaF,0,1,0,0,24
5,2v4,pIFS,C,37.5,uLaF,0,1,0,0,28
6,2v4,pIFS,C,62.5,uLaF,0,1,0,0,23
7,2v4,pIFS,C,50,uLaF,0,1,0,0,22
8,2v4,pIFS,C,31.25,uLaF,0,1,0,0,24
9,2v4,pIFS,C,75,uLaF,0,1,0,0,23
10,2v4,pIFS,C,81.25,uLaF,0,1,0,0,33
11,2v4,pIFS,C,37.5,uLaF,0,1,0,0,21
12,2v4,pIFS,C,31.25,uLaF,0,1,0,0,28
13,2v4,pIFS,C,43.75,uLaF,0,1,0,1,25
14,2v4,pIFS,C,81.25,uLaF,0,1,0,1,30
15,2v4,pIFS,C,31.25,uLaF,0,1,0,1,22
16,2v4,pIFS,C,18.75,uLaF,0,1,0,1,33
17,2v4,pIFS,C,37.5,uLaF,0,1,0,1,28
18,2v4,pIFS,C,43.75,uLaF,0,1,1,0,34
19,2v4,pIFS,C,56.25,uLaF,0,1,1,0,29
20,2v4,pIFS,C,56.25,uLaF,0,1,1,0,24
21,2v4,pIFS,C,31.25,uLaF,0,1,1,0,29
22,2v4,pIFS,C,62.5,uLaF,0,1,1,0,25
23,2v4,pIFS,C,56.25,uLaF,0,1,1,0,35
24,2v4,pIFS,C,50,uLaF,0,1,1,0,32
25,2v4,pIFS,C,87.5,uLaF,0,1,1,0,23
26,2v4,pIFS,C,68.75,uLaF,0,1,1,0,31
27,2v4,pIFS,C,75,uLaF,0,1,1,0,31
28,2v4,pIFS,C,43.75,uLaF,0,1,1,0,29
29,2v4,pIFS,C,37.5,uLaF,0,1,1,0,25
30,2v4,pIFS,C,62.5,uLaF,0,1,1,0,21
1,3v4,IPS,C,0,uLaF,0,1,0,0,30
2,3v4,IPS,C,43.75,uLaF,0,1,0,0,30
3,3v4,IPS,C,62.5,uLaF,0,1,0,0,24
4,3v4,IPS,C,50,uLaF,0,1,0,0,24
5,3v4,IPS,C,68.75,uLaF,0,1,0,0,28
6,3v4,IPS,C,75,uLaF,0,1,0,0,23
7,3v4,IPS,C,50,uLaF,0,1,0,0,22
8,3v4,IPS,C,87.5,uLaF,0,1,0,0,24
9,3v4,IPS,C,62.5,uLaF,0,1,0,0,23
10,3v4,IPS,C,68.75,uLaF,0,1,0,0,33
11,3v4,IPS,C,43.75,uLaF,0,1,0,0,21
12,3v4,IPS,C,56.25,uLaF,0,1,0,0,28
13,3v4,IPS,C,62.5,uLaF,0,1,0,1,25
14,3v4,IPS,C,93.75,uLaF,0,1,0,1,30
15,3v4,IPS,C,62.5,uLaF,0,1,0,1,22
16,3v4,IPS,C,0,uLaF,0,1,0,1,33
17,3v4,IPS,C,37.5,uLaF,0,1,0,1,28
18,3v4,IPS,C,81.25,uLaF,0,1,1,0,34
19,3v4,IPS,C,87.5,uLaF,0,1,1,0,29
20,3v4,IPS,C,62.5,uLaF,0,1,1,0,24
21,3v4,IPS,C,37.5,uLaF,0,1,1,0,29
22,3v4,IPS,C,56.25,uLaF,0,1,1,0,25
23,3v4,IPS,C,37.5,uLaF,0,1,1,0,35
24,3v4,IPS,C,75,uLaF,0,1,1,0,32
25,3v4,IPS,C,93.75,uLaF,0,1,1,0,23
26,3v4,IPS,C,56.25,uLaF,0,1,1,0,31
27,3v4,IPS,C,37.5,uLaF,0,1,1,0,31
28,3v4,IPS,C,75,uLaF,0,1,1,0,29
